No.,Reaction name (book TOC),Normalized / common name,Book page,Subentry,Parent entry,Entry type,Primary class,Concise description,Representative reaction SMILES,SMILES status,RXNO ID,RXNO label,RXNO definition,Notes / discrepancies,Book source,RXNO URL
215,Parham cyclization,Parham cyclization,442,No,,Reaction,Cycloaddition / annulation / ring formation,"Annulation of aryl halides with ortho side chains bearing a pendant electrophilic moiety via treatment with an organolithium reagent, involving halogen-metal exchange and subsequent nucleophilic cyclization to form 4- to 7-membered rings.",,Not encoded,RXNO:0000536,Parham cyclisation,Reaction of a bromoarene that has an electrophilic group at the para-position with lithium bromide or lithium iodide followed by intramolecular cyclisation to yield a fused-ring system.,,"Li, Name Reactions, 3rd ed. (2006), p. 442",https://purl.obolibrary.org/obo/RXNO_0000536
216,Passerini reaction,Passerini reaction,444,No,,Reaction,C–C bond formation / condensation / multicomponent,"Three-component condensation (3CC) of carboxylic acids, C-isocyanides, and carbonyl compounds to afford α-acyloxycarboxamides.",O=Cc1ccccc1.CC(=O)O.CC(C)(C)[N+]#[C-]>>CC(=O)OC(c1ccccc1)C(=O)NC(C)(C)C,Representative; RDKit-parsable,RXNO:0000244,Passerini reaction,"The reaction between an isonitrile, a carboxylic acid and aldehyde or ketone to give an alpha-acyloxy amide.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 444",https://purl.obolibrary.org/obo/RXNO_0000244
217,Paternó–Büchi reaction,Paternó–Büchi reaction,446,No,,Reaction,Radical / photochemical,Photochemical [2+2] cycloaddition of a carbonyl compound and an alkene to form an oxetane.,CC(C)=O.C=C>>CC1(C)COC1,Representative; RDKit-parsable,RXNO:0000083,Paternò–Büchi reaction,A photochemical cycloaddition between an aldehyde or ketone and an alkene to give an oxetane.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 446",https://purl.obolibrary.org/obo/RXNO_0000083
218,Pauson–Khand cyclopentenone synthesis,Pauson–Khand cyclopentenone synthesis,448,No,,Reaction,Cycloaddition / annulation / ring formation,"Formal [2+2+1] cycloaddition of an alkene, an alkyne, and carbon monoxide to form a cyclopentenone.",C=C.C#C.[C-]#[O+]>>O=C1C=CCC1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 448",
219,Payne rearrangement,Payne rearrangement,450,No,,Reaction,Rearrangement / fragmentation,"Base-promoted isomerization of 2,3-epoxy alcohols. Also known as epoxide migration.",,Not encoded,RXNO:0000120,Payne rearrangement,"A base-catalysed isomerisation of a 2,3-epoxyalcohol, with inversion of configuration at C2.",,"Li, Name Reactions, 3rd ed. (2006), p. 450",https://purl.obolibrary.org/obo/RXNO_0000120
220,Pechmann coumarin synthesis,Pechmann coumarin synthesis,452,No,,Reaction,Heterocycle synthesis,Lewis acid-mediated condensation of phenol with β-ketoester to produce coumarin.,Oc1ccccc1.CCOC(=O)CC(C)=O>>Cc1cc(=O)oc2ccccc12,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 452",
221,Perkin reaction,Perkin reaction,454,No,,Reaction,Functional-group interconversion / method,"Base-catalyzed condensation of an aromatic aldehyde with an acid anhydride to form an α,β-unsaturated aromatic carboxylic acid.",O=Cc1ccccc1.CC(=O)OC(C)=O>>O=C(O)/C=C/c1ccccc1,Representative; RDKit-parsable,RXNO:0000003,Perkin reaction,An aldol condensation where an aryl aldehyde reacts with an acid anhydride to form a cinnamic acid.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 454",https://purl.obolibrary.org/obo/RXNO_0000003
222,Petasis reaction,Petasis reaction,456,No,,Reaction,C–C bond formation / condensation / multicomponent,"Three-component borono-Mannich reaction of a boronic acid, an amine, and a carbonyl compound to form a substituted amine.",O=Cc1ccccc1.O1CCNCC1.OB(O)c1ccccc1>>c1ccc(C(N2CCOCC2)c2ccccc2)cc1,Representative; RDKit-parsable,RXNO:0000232,Petasis reaction,The alkylation of an amine with a boronic acid and an aldehyde to give a substituted amine.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 456",https://purl.obolibrary.org/obo/RXNO_0000232
223,Peterson olefination,Peterson olefination,458,No,,Reaction,Olefination / elimination,Alkenes from α-silyl carbanion and carbonyl compounds. Also known as sila- Wittig reaction.,C[Si](C)(C)C(O)c1ccccc1>>C=Cc1ccccc1,Representative; RDKit-parsable,RXNO:0000080,Peterson olefination,"A carbon-carbon coupling reaction in which an alpha-silyl carbanion reacts with an aldehyde or a ketone to give an alkene, proceeding via a beta-hydroxysilane. The stereochemistry of the alkene can be controlled by treating the intermediate with acid or base.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 458",https://purl.obolibrary.org/obo/RXNO_0000080
224,Pictet–Gams isoquinoline synthesis,Pictet–Gams isoquinoline synthesis,460,No,,Reaction,Heterocycle synthesis,Dehydrative cyclization of an acylated β-hydroxy-β-phenylethylamine to an isoquinoline.,,Not encoded,,,,,"Li, Name Reactions, 3rd ed. (2006), p. 460",
225,Pictet–Spengler tetrahydroisoquinoline synthesis,Pictet–Spengler tetrahydroisoquinoline synthesis,462,No,,Reaction,Heterocycle synthesis,Acid-catalyzed condensation of a β-arylethylamine with an aldehyde or ketone followed by cyclization to a tetrahydroisoquinoline or related heterocycle.,NCCc1ccccc1.C=O>>C1NCCc2ccccc21,Representative; RDKit-parsable,RXNO:0000059,Pictet-Spengler reaction,A condensation-cyclisation of a beta-phenethylamine with an aldehyde to give a tetrahydroisoquinoline.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 462",https://purl.obolibrary.org/obo/RXNO_0000059
226,Pinacol rearrangement,Pinacol rearrangement,464,No,,Reaction,Rearrangement / fragmentation,"Acid-catalyzed 1,2-migration in a vicinal diol to form a rearranged aldehyde or ketone.",CC(O)(C)C(O)(C)C>>CC(=O)C(C)(C)C,Representative; RDKit-parsable,RXNO:0000050,pinacol rearrangement,"A rearrangement of a 1,2-diol to give a carbonyl compound, catalysed by acid.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 464",https://purl.obolibrary.org/obo/RXNO_0000050
227,Pinner reaction,Pinner reaction,466,No,,Reaction,Functional-group interconversion / method,"Transformation of a nitrile into an imino ether, which can be converted to either an ester or an amidine.",CC#N.CCO>>CCOC(C)=N,Representative; RDKit-parsable,RXNO:0000361,Pinner reaction,A functional group modification where a nitrile reacts with an alcohol under acid catalysis to form an amidine or ester.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 466",https://purl.obolibrary.org/obo/RXNO_0000361
228,Polonovski reaction,Polonovski reaction,468,No,,Reaction,Rearrangement / fragmentation,"Treatment of a tertiary N-oxide with an activating agent such as acetic anhydride, resulting in rearrangement where an N,N-disubstituted acetamide and an aldehyde are generated.",C[N+](C)(C)[O-]>>CNC.C=O,Representative; RDKit-parsable,RXNO:0000221,Polonovski reaction,"The reaction of a tertiary amine oxide with an anhydride or acyl chloride to give an N,N-disubstituted acetamide and an aldehyde.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 468",https://purl.obolibrary.org/obo/RXNO_0000221
229,Polonovski–Potier rearrangement,Polonovski–Potier reaction,470,No,,Reaction,Rearrangement / fragmentation,Trifluoroacetic-anhydride activation of a tertiary amine N-oxide to form an iminium ion that can undergo fragmentation or nucleophilic trapping.,C[N+](C)(C)[O-]>>CNC.C=O,Representative; RDKit-parsable,RXNO:0000222,Polonovski-Potier reaction,"The reaction of a tertiary amine oxide with trifluoroacetic anhydride to give an N,N-disubstituted acetamide and an aldehyde.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 470",https://purl.obolibrary.org/obo/RXNO_0000222
230,Pomeranz–Fritsch reaction,Pomeranz–Fritsch reaction,472,No,,Reaction,Heterocycle synthesis,Isoquinoline synthesis via acid-mediated cyclization of the appropriate aminoacetal intermediate.,,Not encoded,RXNO:0000585,Pomeranz–Fritsch reaction,"An azacycle synthesis where the product is an isoquinoline and the reactants are a benzaldehyde and a 2,2-dialkoxyethylamine.",,"Li, Name Reactions, 3rd ed. (2006), p. 472",https://purl.obolibrary.org/obo/RXNO_0000585
231,Schlittler–Müller modification,Schlittler–Müller modification of the Pomeranz–Fritsch reaction,473,Yes,Pomeranz–Fritsch reaction,Reaction,Heterocycle synthesis,Pomeranz–Fritsch-type isoquinoline synthesis from a benzaldehyde-derived aminoacetal under strong acid.,,Not encoded,,,,Listed as a subentry under the Pomeranz–Fritsch reaction.,"Li, Name Reactions, 3rd ed. (2006), p. 473",
232,Prévost trans-dihydroxylation,Prévost trans-dihydroxylation,475,No,,Reaction,Oxidation / alkene functionalization,"Iodine/silver carboxylate addition to an alkene under anhydrous conditions, followed by hydrolysis, to give a trans-1,2-diol.",C1=CCCCC1>>O[C@H]1CCCC[C@@H]1O,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 475",
233,Woodward cis-dihydroxylation,Woodward cis-dihydroxylation,476,Yes,Prévost trans-dihydroxylation,Reaction,Oxidation / alkene functionalization,"Iodine/silver acetate addition to an alkene in the presence of water, followed by hydrolysis, to give a cis-1,2-diol.",C1=CCCCC1>>O[C@H]1CCCC[C@H]1O,Representative; RDKit-parsable,,,,"Listed as a subentry under Prévost trans-dihydroxylation. Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 476",
234,Prins reaction,Prins reaction,478,No,,Reaction,C–C bond formation / condensation / multicomponent,"Acid-catalyzed addition of an alkene to an aldehyde or ketone, giving a 1,3-diol, allylic alcohol, or tetrahydropyran depending on substrate and conditions.",CC=C.C=O>>CC(O)CCO,Representative; RDKit-parsable,RXNO:0000048,Prins reaction,"A carbon-carbon coupling between formaldehyde and an alkene to give a 1,3-diol or an allylic alcohol, catalysed by acid.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 478",https://purl.obolibrary.org/obo/RXNO_0000048
235,Pschorr cyclization,Pschorr cyclization,480,No,,Reaction,Radical / photochemical,"Intramolecular aryl-radical cyclization of a diazonium salt to form a biaryl ring system, commonly followed by loss of nitrogen.",N#[N+]c1ccccc1-c1ccccc1>>c1ccc2c(c1)ccc1ccccc12,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 480",
236,Pummerer rearrangement,Pummerer rearrangement,483,No,,Reaction,Rearrangement / fragmentation,The transformation of sulfoxides into α-acyloxythioethers using acetic anhydride.,CS(=O)c1ccccc1>>CC(=O)OCSc1ccccc1,Representative; RDKit-parsable,RXNO:0000220,Pummerer rearrangement,The conversion of a sulfoxide with an alpha-hydrogen to an alpha-substituted thioether. The reaction is usually performed with an acid anhydride or acyl halide.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 483",https://purl.obolibrary.org/obo/RXNO_0000220
237,Ramberg–Bäcklund reaction,Ramberg–Bäcklund reaction,485,No,,Reaction,Functional-group interconversion / method,Olefin synthesis via α-halosulfone extrusion.,CCS(=O)(=O)CCl>>CC=CC,Representative; RDKit-parsable,RXNO:0000094,Ramberg-Bäcklund reaction,"The reaction of an alpha-halosulfone to give an alkene, with the extrusion of sulfur dioxide.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 485",https://purl.obolibrary.org/obo/RXNO_0000094
238,Reformatsky reaction,Reformatsky reaction,487,No,,Reaction,C–C bond formation / condensation / multicomponent,Nucleophilic addition of organozinc reagents generated from α-haloesters to carbonyls.,CCOC(=O)CBr.O=Cc1ccccc1>>CCOC(=O)CC(O)c1ccccc1,Representative; RDKit-parsable,RXNO:0000036,Reformatsky reaction,A carbon-carbon coupling reaction where an aldehyde or amine reacts with a alpha-halo ester and zinc to form a beta-hydroxy ester.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 487",https://purl.obolibrary.org/obo/RXNO_0000036
239,Regitz diazo synthesis,Regitz diazo synthesis,489,No,,Reaction,Aromatic substitution / diazonium chemistry,"Synthesis of 2-diazo-1,3-dicarbonyl or 2-diazo-3-ketoesters using sulfonyl azide.",CCOC(=O)CC(C)=O>>CCOC(=O)C(=[N+]=[N-])C(C)=O,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 489",
240,Reimer–Tiemann reaction,Reimer–Tiemann reaction,492,No,,Reaction,Aromatic substitution / diazonium chemistry,Synthesis of o-formylphenol from phenols and chloroform in alkaline medium.,Oc1ccccc1>>O=Cc1ccccc1O,Representative; RDKit-parsable,RXNO:0000072,Reimer-Tiemann reaction,"A formylation reaction between a phenol and chloroform (for example, to form an ortho-formyl phenol).","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 492",https://purl.obolibrary.org/obo/RXNO_0000072
241,Reissert aldehyde synthesis,Reissert aldehyde synthesis,494,No,,Reaction,Reduction,Conversion of an acid chloride into an aldehyde through formation and hydrolysis of a cyanide-derived Reissert intermediate.,O=C(Cl)c1ccccc1>>O=Cc1ccccc1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 494",
242,Reissert indole synthesis,Reissert indole synthesis,497,No,,Reaction,Heterocycle synthesis,"The Reissert indole synthesis involves base-catalyzed condensation of an onitrotoluene derivative with an ethyl oxalate, which is followed by reductive cyclization to an indole-2-carboxylic acid derivative.",,Not encoded,,,,,"Li, Name Reactions, 3rd ed. (2006), p. 497",
243,Ring-closing metathesis,Ring-closing metathesis (RCM),499,No,,Reaction,Cycloaddition / annulation / ring formation,"Intramolecular olefin metathesis of a diene to form a cyclic alkene, typically using a Ru or Mo alkylidene catalyst.",C=CCCCC=C>>C1=CCCC1,Representative; RDKit-parsable,RXNO:0000245,ring-closing metathesis,"A joining reaction in which two carbon-carbon double bonds in the same molecule are redistributed to give a cycloalkene. It is typically catalysed by a metal carbenoid, and proceeds via two four-membered intermediates (metallacyclobutanes). The reaction is driven by release of a low-MW alkene.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 499",https://purl.obolibrary.org/obo/RXNO_0000245
244,Ritter reaction,Ritter reaction,501,No,,Reaction,Functional-group interconversion / method,Amides from nitriles and alcohols in strong acids.,CC(C)(C)O.CC#N>>CC(=O)NC(C)(C)C,Representative; RDKit-parsable,RXNO:0000058,Ritter reaction,"A reaction between an alcohol or alkene and a nitrile to give an amide, catalysed by a Bronsted acid.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 501",https://purl.obolibrary.org/obo/RXNO_0000058
245,Robinson annulation,Robinson annulation,503,No,,Reaction,Cycloaddition / annulation / ring formation,"Michael addition of cyclohexanones to methyl vinyl ketone followed by intramolecular aldol condensation to afford six-membered α,β-unsaturated ketones.",,Not encoded,RXNO:0000380,Robinson annulation,Reaction of a cyclohexanone with methyl vinyl ketone to form a fused-ring cyclohexenone. It is a Michael reaction followed by an intramolecular aldol condensation.,,"Li, Name Reactions, 3rd ed. (2006), p. 503",https://purl.obolibrary.org/obo/RXNO_0000380
246,Robinson–Gabriel synthesis,Robinson–Gabriel synthesis,505,No,,Reaction,Heterocycle synthesis,Cyclodehydration of an α-acylamino ketone to form an oxazole.,CC(=O)NCC(C)=O>>Cc1nc(C)oc1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 505",
247,Robinson–Schöpf reaction,Robinson–Schöpf reaction,507,No,,Reaction,C–C bond formation / condensation / multicomponent,"Multicomponent condensation of succindialdehyde, acetonedicarboxylic acid, and methylamine to form tropinone.",,Not encoded,,,,,"Li, Name Reactions, 3rd ed. (2006), p. 507",
248,Rosenmund reduction,Rosenmund reduction,509,No,,Reaction,Reduction,Catalytic hydrogenolysis of an acid chloride to the corresponding aldehyde using palladium poisoned with barium sulfate.,O=C(Cl)c1ccccc1>>O=Cc1ccccc1,Representative; RDKit-parsable,RXNO:0000136,Rosenmund reduction,"The hydrogenolysis of an acyl halide to the corresponding aldehyde, catalysed by palladium-on-barium sulfate.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 509",https://purl.obolibrary.org/obo/RXNO_0000136
249,Rubottom oxidation,Rubottom oxidation,511,No,,Reaction,Oxidation / alkene functionalization,Oxidation of a silyl enol ether to an α-hydroxy carbonyl compound.,C=C(O[Si](C)(C)C)C>>CC(=O)CO,Representative; RDKit-parsable,RXNO:0000669,Rubottom oxidation,"The Rubottom oxidation is a useful, high-yielding chemical reaction between silyl enol ethers and peroxy acids to give the corresponding α-hydroxy carbonyl product.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 511",https://purl.obolibrary.org/obo/RXNO_0000669
250,Rupe rearrangement,Rupe rearrangement,513,No,,Reaction,Rearrangement / fragmentation,"Acid-catalyzed rearrangement of a tertiary propargylic alcohol to an α,β-unsaturated ketone.",CC(O)(C)C#C>>C=C(C)C(C)=O,Representative; RDKit-parsable,RXNO:0000477,Rupe rearrangement,"Rearrangement of a propargyl alcohol to an alpha,beta-unsaturated carbonyl compound via an enyne intermediate to yield the beta-substituted product.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 513",https://purl.obolibrary.org/obo/RXNO_0000477
251,Saegusa oxidation,Saegusa oxidation,515,No,,Reaction,Oxidation / alkene functionalization,"Palladium-catalyzed conversion of enol silanes to enones, also known as the Saegusa enone synthesis.",C[Si](C)(C)OC1=CCCCC1>>O=C1C=CCCC1,Representative; RDKit-parsable,RXNO:0000544,Saegusa oxidation,"Reaction of silyl enol ethers with palladium acetate in acetonitrile to yield an alpha,beta-unsaturated ketone.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 515",https://purl.obolibrary.org/obo/RXNO_0000544
252,Sakurai allylation reaction,Sakurai allylation reaction,518,No,,Reaction,C–C bond formation / condensation / multicomponent,Lewis-acid-promoted addition of an allylsilane to a carbonyl compound or other electrophile to form a carbon–carbon bond.,C=CC[Si](C)(C)C.O=Cc1ccccc1>>C=CCC(O)c1ccccc1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 518",
253,Sandmeyer reaction,Sandmeyer reaction,520,No,,Reaction,Aromatic substitution / diazonium chemistry,Haloarenes from the reaction of a diazonium salt with CuX.,N#[N+]c1ccccc1>>Clc1ccccc1,Representative; RDKit-parsable,RXNO:0000021,Sandmeyer reaction,An aromatic substitution reaction where an aryl diazonium salt reacts with a copper(I) halide or pseudohalide to form an aromatic halide or pseudohalide.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 520",https://purl.obolibrary.org/obo/RXNO_0000021
254,Schiemann reaction,Schiemann reaction,522,No,,Reaction,Aromatic substitution / diazonium chemistry,Thermal decomposition of an aryl diazonium tetrafluoroborate to form an aryl fluoride.,N#[N+]c1ccccc1>>Fc1ccccc1,Representative; RDKit-parsable,RXNO:0000127,Balz-Schiemann reaction,The conversion of an aromatic amine to the corresponding fluoride via the diazonium fluoroborate.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 522",https://purl.obolibrary.org/obo/RXNO_0000127
255,Schmidt reaction,Schmidt reaction,524,No,,Reaction,Rearrangement / fragmentation,"Hydrazoic-acid-mediated rearrangement of a ketone to an amide or of a carboxylic acid to an amine, with nitrogen extrusion.",O=C1CCCCC1.N=[N+]=[N-]>>O=C1CCCCCN1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 524",
256,Schmidt’s trichloroacetimidate glycosidation reaction,Schmidt’s trichloroacetimidate glycosidation reaction,526,No,,Reaction,Carbohydrate / glycosylation,Lewis acid-promoted glycosidation of trichloroacetimidates with alcohols or phenols.,,Not encoded,,,,,"Li, Name Reactions, 3rd ed. (2006), p. 526",
257,Shapiro reaction,Shapiro reaction,529,No,,Reaction,C–C bond formation / condensation / multicomponent,"Strong-base-induced decomposition of a tosylhydrazone to a vinyllithium intermediate, furnishing an alkene after protonation or enabling further functionalization.",CC(=NN(S(=O)(=O)c1ccc(C)cc1))c1ccccc1>>C=Cc1ccccc1,Representative; RDKit-parsable,RXNO:0000125,Shapiro reaction,The reaction of a tosylhydrazone of an aldehyde or ketone with an alkyllithium or Grignard reagent to give an olefin.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 529",https://purl.obolibrary.org/obo/RXNO_0000125
258,Sharpless asymmetric amino hydroxylation,Sharpless asymmetric aminohydroxylation,531,No,,Reaction,Oxidation / alkene functionalization,Osmium-mediated cis-addition of nitrogen and oxygen to olefins. Regioselectivity may be controlled by ligand.,C=Cc1ccccc1>>N[C@H](CO)c1ccccc1,Representative; RDKit-parsable,RXNO:0000143,Sharpless asymmetric aminohydroxylation,"The aminohydroxylation of an alkene to give a beta-amino alcohol, with control of absolute stereochemistry at the two new stereocentres. The oxidising agent is an oxygen-containing osmium species and/or an amino derivative which can be used catalytically with a stoichiometric oxidant and a chiral ligand.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 531",https://purl.obolibrary.org/obo/RXNO_0000143
259,Sharpless asymmetric epoxidation,Sharpless asymmetric epoxidation,533,No,,Reaction,Oxidation / alkene functionalization,"Enantioselective epoxidation of an allylic alcohol using titanium tetraisopropoxide, tert-butyl hydroperoxide, and a chiral tartrate.",C=CCO>>OC[C@H]1CO1,Representative; RDKit-parsable,RXNO:0000141,Sharpless asymmetric epoxidation,"The epoxidation of an allylic alcohol to give a beta,gamma-epoxy alcohol, with control of absolute stereochemistry at the two new stereocentres. The oxidising agent is tert-butyl hydroperoxide, and the catalyst is a complex of titanium salt and optically active diethyl tartrate.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 533",https://purl.obolibrary.org/obo/RXNO_0000141
260,Sharpless asymmetric dihydroxylation,Sharpless asymmetric dihydroxylation,536,No,,Reaction,Oxidation / alkene functionalization,Enantioselective cis-dihydroxylation of olefins using osmium catalyst in the presence of cinchona alkaloid ligands.,C=Cc1ccccc1>>OC[C@H](O)c1ccccc1,Representative; RDKit-parsable,RXNO:0000142,Sharpless asymmetric dihydroxylation,"The dihydroxylation of an alkene to give an alpha,beta-diol, with control of absolute stereochemistry at the two new stereocentres. The oxidising agent is osmium tetroxide, which is used catalytically with a stoichiometric oxidant and a chiral ligand. The reagents are available commercially as AD-mix.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 536",https://purl.obolibrary.org/obo/RXNO_0000142
261,Sharpless olefin synthesis,Sharpless olefin synthesis,540,No,,Reaction,Olefination / elimination,Syn oxidative elimination of an o-nitrophenyl selenide to form an alkene.,CC(O)C[Se]c1ccccc1[N+](=O)[O-]>>CC=C,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 540",
262,Simmons–Smith reaction,Simmons–Smith reaction,543,No,,Reaction,Cycloaddition / annulation / ring formation,Stereospecific cyclopropanation of an alkene using the zinc carbenoid generated from diiodomethane and zinc–copper couple.,C1=CCCCC1>>C1CC2CCCCC12,Representative; RDKit-parsable,RXNO:0000258,Simmons-Smith reaction,A ring formation reaction where an alkene reacts with a dihalomethane in the presence of a metal atom or metal complexes to form a cyclopropane. The traditional reaction uses a zinc-copper couple and diiodomethane.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 543",https://purl.obolibrary.org/obo/RXNO_0000258
263,Skraup quinoline synthesis,Skraup quinoline synthesis,545,No,,Reaction,Heterocycle synthesis,"Quinoline from aniline, glycerol, sulfuric acid and oxidizing agent (e.g. PhNO2).",Nc1ccccc1.OCC(O)CO>>c1ccc2ncccc2c1,Representative; RDKit-parsable,RXNO:0000062,Skraup reaction,A condensation between an aromatic amine and glycerol to give a quinoline.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 545",https://purl.obolibrary.org/obo/RXNO_0000062
264,Doebner–von Miller reaction,Doebner–von Miller reaction,547,Yes,Skraup quinoline synthesis,Reaction,Heterocycle synthesis,"Skraup-type quinoline synthesis from an aniline and an α,β-unsaturated aldehyde or its imine equivalent.",Nc1ccccc1.CC=CC=O>>Cc1nc2ccccc2cc1,Representative; RDKit-parsable,RXNO:0000159,Doebner-Miller reaction,"The formation of a quinoline from a primary aromatic amine and an alpha,beta-unsaturated carbonyl compound.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 547",https://purl.obolibrary.org/obo/RXNO_0000159
265,Smiles rearrangement,Smiles rearrangement,549,No,,Reaction,Rearrangement / fragmentation,Intramolecular nucleophilic aromatic substitution in which a tethered nucleophile displaces a leaving group and transfers an aryl unit.,NCCOc1ccccc1[N+](=O)[O-]>>OCCNc1ccccc1[N+](=O)[O-],Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 549",
