name,smiles,motif_count,motifs,alt_motifs,error
12-Crown-4,C1COCCOCCOCCO1,4,RCH2-OR / RCH2-OR / RCH2-OR / RCH2-OR,Alkyl-OR / Alkyl-OR / Alkyl-OR / Alkyl-OR,
Potassium Bicarbonate,O=C([O-])O,1,Any-CO2M,,
"1,5-Diazabicyclo[4.3.0]non-5-ene",C1CN=C2CCCN2C1,1,RCH2-NR2,Alkyl-NR2,
CDMT (triazine additive/activator),COc1nc(Cl)nc(OC)n1,3,Ar-OR / Ar-OR / Ar-Cl,CH3-OR / Alkyl-OR / CH3-OR / Alkyl-OR / Ar-X,
Potassium 2-ethylhexanoate,CCCCC(CC)C(=O)O,2,R2CH-CO2H / Alkyl-H-acidic,Alkyl-CO2H / Alkyl-H,
Bis(dibenzylideneacetone)palladium(0),C1=CC=C(C=C1)C=CC(=O)C=CC2=CC=CC=C2.C1=CC=C(C=C1)C=CC(=O)C=CC2=CC=CC=C2.[Pd],6,Alkenyl-COR / Alkenyl-COR / Ar-C=C / Ar-C=C / Ar-C=C / Ar-C=C,Any-Dienophile / Motif-C=C / Any-Dienophile / Motif-C=C / Ar-Alkenyl / Ar-Alkenyl / Ar-Alkenyl / Ar-Alkenyl,
cataCXium A,CCCCP(C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2,1,Alkyl-PR2,,
(Diacetoxy)iodobenzene,CC(=O)OI(OC(C)=O)c1ccccc1,7,Ar-I / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic,Ar-X / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H,
Nickel(II) acetylacetonate,C1=CC=C(C=C1)C2(C3=CC=CC=C3C4=CC=CC=C42)Br,3,Ar-R / Ar-Ar / R3C-Br,Alkyl-Br / R3C-X / Alkyl-X,
"1,1,3,3-Tetramethyldisiloxane",C[Si](C)O[Si](C)C,2,Alkyl-Si / Alkyl-Si,,
PivCl,CC(C)(C)C(=O)Cl,1,Acyl-Cl,,
HCTU,CN(C)C(=[N+](C)C)ON1C2=C(C=CC(=C2)Cl)N=N1.[F-].FP(F)(F)(F)F,3,Ar-Cl / CH3-NR2 / CH3-NR2,Ar-X / Alkyl-NR2 / Alkyl-NR2,
15-Crown-5,C1COCCOCCOCCOCCO1,5,RCH2-OR / RCH2-OR / RCH2-OR / RCH2-OR / RCH2-OR,Alkyl-OR / Alkyl-OR / Alkyl-OR / Alkyl-OR / Alkyl-OR,
Palladium(II) acetate,CC(=O)[O-].CC(=O)[O-].[Pd+2],8,Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Any-CO2M / Any-CO2M,Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H,
Dichlorobis((di-tert-butyl)phenylphosphine)palladium(II),CC(C)(C)P(c1ccccc1)C(C)(C)C.CC(C)(C)P(c1ccccc1)C(C)(C)C.[Pd+2],2,Ar-PR2 / Ar-PR2,Alkyl-PR2 / Alkyl-PR2,
Copper(II) trifluoromethanesulfonate,CCOC(=O)OC1(CCC2C1(CC(C3C2CCC4=CC(=O)C=CC34C)O)C)C(=O)OCCl,6,Alkenyl-COR / R3C-CO2R / R2CH-OH / Alkyl-C=C / Alkyl-C=C / RCH2-Cl,Any-Dienophile / Motif-C=C / Cyclohexene / Alkyl-Ester / Alkyl-OH / Alkyl-Cl / RCH2-X / Alkyl-X,
"Bis(1,5-cyclooctadiene)rhodium(I) tetrafluoroborate",[B-](F)(F)(F)F.C1CC=CCCC=C1.C1CC=CCCC=C1.[Rh],8,Alkyl-C=C / Alkyl-C=C / Alkyl-C=C / Alkyl-C=C / Alkyl-C=C / Alkyl-C=C / Alkyl-C=C / Alkyl-C=C,,
"2,2'-Bipyridine",c1ccc(-c2ccccn2)nc1,3,Ar-Ar / Pyridine / Pyridine,,
Nickel Acetate,C(=O)(C)O[Ni]OC(=O)C,6,Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic,Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H,
2-(Diphenylphosphino)pyridine,c1ccc(P(c2ccccc2)c2ccccn2)cc1,2,Ar-PR2 / Pyridine,,
Oxyma Pure,CCOC(=O)C(C#N)=NO,1,Alkyl-H,,
"4-(4,6-Dimethoxy-1,3,5-triazin-2-yl)-4-methylmorpholinium chloride",COc1nc(OC)nc([N+]2(C)CCOCC2)n1,3,Ar-OR / Ar-OR / RCH2-OR,CH3-OR / Alkyl-OR / CH3-OR / Alkyl-OR / Alkyl-OR,
Lithium hexamethyldisilazide,C[Si](C)(C)N[Si](C)(C)C,2,Alkyl-Si / Alkyl-Si,,
Tetrabutylammonium fluoride (anhydrous),CCCC[N+](CCCC)(CCCC)CCCC.[F-],1,Alkyl-H,,
Tetrabutylammonium Tetrafluoroborate,CCCC[N+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,1,Alkyl-H,,
EEDQ,CC(Cl)CN(C)C,3,RCH2-NR2 / R2CH-Cl / CH3-NR2,Alkyl-NR2 / Alkyl-Cl / R2CH-X / Alkyl-X / Alkyl-NR2,
Calcium Carbonate,C(=O)([O-])[O-].[Ca+2],1,Any-CO2M,,
Tris(n-octyl)phosphine,CCCCCCCCP(CCCCCCCC)CCCCCCCC,1,Alkyl-PR2,,
Tris(o-methoxyphenyl)phosphine,COC1=CC=CC=C1P(C2=CC=CC=C2OC)C3=CC=CC=C3OC,4,Ar-PR2 / Ar-OR / Ar-OR / Ar-OR,CH3-OR / Alkyl-OR / CH3-OR / Alkyl-OR / CH3-OR / Alkyl-OR,
"Neocuproine (2,9-dimethyl-1,10-phenanthroline)",Cc1ccc2ccc3ccc(C)nc3c2n1,4,Ar-R / Ar-R / Quinoline / Quinoline,Pyridine / Pyridine,
C3-TunePhos,C1COC2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)C5=C(C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)OC1,5,Ar-PR2 / Ar-PR2 / Ar-OR / Ar-OR / Ar-Ar,RCH2-OR / Alkyl-OR / RCH2-OR / Alkyl-OR,
Sodium carbonate,O=C([O-])[O-],1,Any-CO2M,,
Tris(dibenzylideneacetone)dipalladium(0),C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3,1,Ar-PR2,,
MeO-BIPHEP,CCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,3,Ar-CN / Ar-OR / Ar-Ar,RCH2-OR / Alkyl-OR,
Dichloro(pCymene)ruthenium(II) dimer,Cc1ccc(C(C)C)cc1.Cc1ccc(C(C)C)cc1.[Ru+2].[Ru+2],4,Ar-R / Ar-R / Ar-R / Ar-R,,
Tris(dibenzylideneacetone)dipalladium(0)-Chloroform adduct,C1=CC=C(C=C1)C=CC(=O)C=CC2=CC=CC=C2.C1=CC=C(C=C1)C=CC(=O)C=CC2=CC=CC=C2.C1=CC=C(C=C1)C=CC(=O)C=CC2=CC=CC=C2.[Pd].[Pd],9,Alkenyl-COR / Alkenyl-COR / Alkenyl-COR / Ar-C=C / Ar-C=C / Ar-C=C / Ar-C=C / Ar-C=C / Ar-C=C,Any-Dienophile / Motif-C=C / Any-Dienophile / Motif-C=C / Any-Dienophile / Motif-C=C / Ar-Alkenyl / Ar-Alkenyl / Ar-Alkenyl / Ar-Alkenyl / Ar-Alkenyl / Ar-Alkenyl,
"1,1---Carbonyldiimidazole",O=C(n1ccnc1)n1ccnc1,1,Ar-H,,
Bis(tri-tert-butylphosphine)palladium(0),CC(C)(C)P(C(C)(C)C)C(C)(C)C.CC(C)(C)P(C(C)(C)C)C(C)(C)C.[Pd],2,Alkyl-PR2 / Alkyl-PR2,,
Silver carbonate,O=C([O-])[O-].[Ag+].[Ag+],1,Any-CO2M,,
Cesium carbonate,O=C([O-])[O-].[Cs+].[Cs+],1,Any-CO2M,,
Dicyclohexylcarbodiimide,C(=NC1CCCCC1)=NC1CCCCC1,1,Alkyl-H,,
Isobutyl chloroformate,CC(C)COC(=O)Cl,1,Acyl-Cl,,
Lithium acetate,[Li+].CC(=O)[O-],4,Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Any-CO2M,Alkyl-H / Alkyl-H / Alkyl-H,
Copper(I) bromide--imethyl sulfide complex,CSC.[Cu]Br,1,CH3-SR,Alkyl-SR,
Tris(2-furyl)phosphine,c1coc(P(c2ccco2)c2ccco2)c1,4,Ar-PR2 / Furan / Furan / Furan,,
Triethylphosphine,CCP(CC)CC,1,Alkyl-PR2,,
Carbon tetrachloride,ClC(Cl)(Cl)Cl,4,Alkyl-Cl / Alkyl-Cl / Alkyl-Cl / Alkyl-Cl,Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X,
Cyclopentyl methyl ether,COC1CCCC1,1,R2CH-OR,CH3-OR / Alkyl-OR,
XPhos,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,5,Ar-PR2 / Ar-R / Ar-R / Ar-R / Ar-Ar,Alkyl-PR2,
tBuXPhos,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C(C)(C)C)C(C)(C)C)c(C(C)C)c1,5,Ar-PR2 / Ar-R / Ar-R / Ar-R / Ar-Ar,Alkyl-PR2,
BOP (legacy),CCOC(=O)C(=O)C,4,Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-COR,Alkyl-H / Alkyl-H / Alkyl-H,
"2,4,6-Trimethylbenzoic acid",Cc1cccc(C)c1O,3,Ar-OH / Ar-R / Ar-R,,
Tricyclohexylphosphine tetrafluoroborate,C1CCC([PH+](C2CCCCC2)C2CCCCC2)CC1.F[B-](F)(F)F,1,Alkyl-H,,
Trimethylphosphine,C#CC(CCC(=O)O)N,5,Alkyl-C#CH / RCH2-CO2H / Alkyl-H-acidic / Alkyl-H-acidic / R2CH-NH2,Alkynyl-H / Alkyl-C#C / Any-C#C / Alkyl-CO2H / Alkyl-H / Alkyl-H / Alkyl-NH2,
Diethyl ether,CCOCC,1,RCH2-OR,Alkyl-OR,
Triphenylphosphine,c1ccc(P(c2ccccc2)c2ccccc2)cc1,1,Ar-PR2,,
HOSu,Oc1ccc(O)n1O,2,Ar-OH / Ar-OH,,
DL-Proline,C1CC(NC1)C(=O)O,4,R2CH-CO2H / Alkyl-H-acidic / R2CH-NHR / RCH2-NHR,Alkyl-CO2H / Alkyl-H / Alkyl-NHR / Alkyl-NHR,
"N,N'?Dimethyloxamide",CNC(=O)C(=O)NC,2,Alkyl-NCOR / Alkyl-NCOR,,
1-Methylimidazole,Cn1ccnc1,1,Alkyl-AromN,,
Tris(o-tolyl)phosphine,Cc1ccccc1P(c1ccccc1C)c1ccccc1C,4,Ar-PR2 / Ar-R / Ar-R / Ar-R,,
"Trisodium 3,3',3''-phosphinetriyltris(benzene-1-sulphonate)",O=S(=O)([O-])c1cccc(P(c2cccc(S(=O)(=O)[O-])c2)c2cccc(S(=O)(=O)[O-])c2)c1,1,Ar-PR2,,
Ethanol,CCO,1,RCH2-OH,Alkyl-OH,
AcOH,CC(=O)O,4,Alkyl-CO2H / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic,Alkyl-H / Alkyl-H / Alkyl-H,
tetrakis(acetonitrile)copper(I) hexafluorophosphate,CC1=C(C=C(C=C1)C(=O)N)N=NC(C(=O)C)C(=O)NC2=C(C=C(C=C2)C3=CC(=C(C=C3)NC(=O)C(C(=O)C)N=NC4=C(C=CC(=C4)C(=O)N)C)C)C,19,Ar-Amide / Ar-Amide / Ar-CONH2 / Ar-CONH2 / Ar-R / Ar-R / Ar-R / Ar-R / Ar-Ar / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / R2CH-COR / R2CH-COR,R2CH-CONHR / Alkyl-CONHR / R2CH-CONHR / Alkyl-CONHR / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-COR / Alkyl-COR,
Triisopropylphosphine,CC(C)P(C(C)C)C(C)C,1,Alkyl-PR2,,
SPhos,COc1cccc(OC)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1,4,Ar-PR2 / Ar-OR / Ar-OR / Ar-Ar,Alkyl-PR2 / CH3-OR / Alkyl-OR / CH3-OR / Alkyl-OR,
"1,10-Phenanthroline",c1cnc2c(c1)ccc1cccnc12,2,Quinoline / Quinoline,Pyridine,
"1,8-Diazabicyclo[5.4.0]undec-7-ene",C1CCC2=NCCCN2CC1,1,RCH2-NR2,Alkyl-NR2,
iPrOH,CC(C)O,1,R2CH-OH,Alkyl-OH,
Acetone,CC(C)=O,7,Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-COR,Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H,
Chloroform,ClC(Cl)Cl,3,Alkyl-Cl / Alkyl-Cl / Alkyl-Cl,Alkyl-X / Alkyl-X / Alkyl-X,
Dimethyl sulfoxide,C[S+](C)[O-],1,CH3-SR,Alkyl-SR,
DPPP,c1ccc(P(CCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,2,Ar-PR2 / Ar-PR2,Alkyl-PR2 / Alkyl-PR2,
"N,N-Dimethylformamide",CN(C)C=O,1,Alkyl-H,,
BOP-Cl,O=C1OCCN1P(=O)(Cl)N1CCOC1=O,2,Alkyl-Carbamate / Alkyl-Carbamate,RCH2-LactamN / Alkyl-LactamN / RCH2-LactamN / Alkyl-LactamN,
T3P,CCCP1(=O)OP(=O)(CCC)OP(=O)(CCC)O1,1,Alkyl-H,,
Diisopropylcarbodiimide,CC(C)N=C=NC(C)C,1,Alkyl-H,,
"N,N-Diisopropylethylamine",CCN(C(C)C)C(C)C,2,R2CH-NR2 / RCH2-NR2,Alkyl-NR2 / Alkyl-NR2,
1-Propanol,CCCO,1,RCH2-OH,Alkyl-OH,
1-Butanol,CCCCO,1,RCH2-OH,Alkyl-OH,
Acetonitrile,CC#N,4,Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / CH3-CN,Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-CN,
Dichloromethane,ClCCl,2,Alkyl-Cl / Alkyl-Cl,Alkyl-X / Alkyl-X,
Nitromethane,C[N+](=O)[O-],4,Alkyl-NO2 / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic,CH3-NR2 / Alkyl-NR2 / Alkyl-H / Alkyl-H / Alkyl-H,
TMSCl,C[Si](C)(C)Cl,1,Alkyl-Si,,
TFE,OCC(F)(F)F,2,Alkyl-CF3 / RCH2-OH,Alkyl-F / Alkyl-X / Alkyl-OH,
tert-Butyl hydroperoxide (neat / in solution),CC(C)(C)OO,1,Alkyl-H,,
Pivalic acid,CC(C)(C)C(=O)O,1,R3C-CO2H,Alkyl-CO2H,
TFA,FC(F)(F)C(=O)O,4,Alkyl-CO2H / Alkyl-F / Alkyl-F / Alkyl-F,Alkyl-X / Alkyl-X / Alkyl-X,
S-Binap,c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1,3,Ar-PR2 / Ar-PR2 / Ar-Ar,,
DPPB,c1ccc(P(CCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,2,Ar-PR2 / Ar-PR2,Alkyl-PR2 / Alkyl-PR2,
Isobutanol,CC(C)CO,1,RCH2-OH,Alkyl-OH,
2-Butanol,CCC(C)O,1,R2CH-OH,Alkyl-OH,
Methyl ethyl ketone,CCC(C)=O,6,Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / RCH2-COR,Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-COR,
RuPhos,CC(C)OC1=C(C(=CC=C1)OC(C)C)C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4,4,Ar-PR2 / Ar-OR / Ar-OR / Ar-Ar,Alkyl-PR2 / R2CH-OR / Alkyl-OR / R2CH-OR / Alkyl-OR,
Propionic acid,CCC(=O)O,3,RCH2-CO2H / Alkyl-H-acidic / Alkyl-H-acidic,Alkyl-CO2H / Alkyl-H / Alkyl-H,
"1,1,3,3-Tetramethylguanidine",CN(C)C(=N)N(C)C,2,CH3-NR2 / CH3-NR2,Alkyl-NR2 / Alkyl-NR2,
"1,3-Dimethyl-2-imidazolidinone",CN1CCN(C)C1=O,4,RCH2-LactamN / RCH2-LactamN / Alkyl-LactamN / Alkyl-LactamN,Alkyl-LactamN / Alkyl-LactamN,
Diethylchlorophosphate,CCOP(=O)(Cl)OCC,1,Alkyl-H,,
1-Adamantane carboxylic acid,O=C(O)C12CC3CC(CC(C3)C1)C2,1,R3C-CO2H,Alkyl-CO2H,
Diphenylphosphine,c1ccc(Pc2ccccc2)cc1,1,Ar-H,,
"DDQ (2,3-dichloro-5,6-dicyano-1,4-benzoquinone)",C(#N)C1=C(C(=O)C(=C(C1=O)Cl)Cl)C#N,6,Alkenyl-CN / Alkenyl-CN / Alkenyl-COR / Alkenyl-COR / Alkenyl-Cl / Alkenyl-Cl,Any-Dienophile / Motif-C=C / Cyclohexene / Any-Dienophile / Motif-C=C / Cyclohexene,
dtbpf,CC(C)(C)P(c1cc[cH-]c1)C(C)(C)C.CC(C)(C)P(c1cc[cH-]c1)C(C)(C)C.[Fe+2],2,Ar-PR2 / Ar-PR2,Alkyl-PR2 / Alkyl-PR2,
BIPHEP,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3C4=CC=CC=C4P(C5=CC=CC=C5)C6=CC=CC=C6,3,Ar-PR2 / Ar-PR2 / Ar-Ar,,
Tris(p-methoxyphenyl)phosphine,COc1ccc(P(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,4,Ar-PR2 / Ar-OR / Ar-OR / Ar-OR,CH3-OR / Alkyl-OR / CH3-OR / Alkyl-OR / CH3-OR / Alkyl-OR,
Me4tBuXPhos,CC1=C(C(=C(C(=C1C)C2=C(C=C(C=C2C(C)C)C(C)C)C(C)C)P(C(C)(C)C)C(C)(C)C)C)C,9,Ar-PR2 / Ar-R / Ar-R / Ar-R / Ar-R / Ar-R / Ar-R / Ar-R / Ar-Ar,Alkyl-PR2,
N-Methyl-2-pyrrolidone,CN1CCCC1=O,4,RCH2-CONR2 / Alkyl-NCOR / Alkyl-H-acidic / Alkyl-H-acidic,Alkyl-CONR2 / RCH2-LactamN / Alkyl-LactamN / Alkyl-H / Alkyl-H,
Dess--artin periodinane,CC(=O)OI1(OC(C)=O)(OC(C)=O)OC(=O)c2ccccc21,10,Ar-I / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic,Ar-X / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H,
Palladium(II) dichloride complex of Amphos,CC(C)(C)P(C1=CC=C(C=C1)N(C)C)C(C)(C)C.CC(C)(C)P(C1=CC=C(C=C1)N(C)C)C(C)(C)C.Cl[Pd]Cl,6,Ar-PR2 / Ar-PR2 / Ar-NR2 / Ar-NR2 / CH3-NR2 / CH3-NR2,Alkyl-PR2 / Alkyl-PR2 / Alkyl-NR2 / Alkyl-NR2,
HFIP,OC(C(F)(F)F)C(F)(F)F,3,Alkyl-CF3 / Alkyl-CF3 / R2CH-OH,Alkyl-F / Alkyl-X / Alkyl-F / Alkyl-X / Alkyl-OH,
benzaldehyde oxime,C1=CC=C(C=C1)C=NO,1,Ar-Imino,,
Salicylaldoxime,ON=Cc1ccccc1O,2,Ar-Imino / Ar-OH,,
HBTU,CN(C)C(=[N+](C)C)ON1C2=CC=CC=C2N=N1,2,CH3-NR2 / CH3-NR2,Alkyl-NR2 / Alkyl-NR2,
"1,2-Dichlorobenzene",Clc1ccccc1Cl,2,Ar-Cl / Ar-Cl,Ar-X / Ar-X,
2-Methyltetrahydrofuran,CC1CCCO1,1,RCH2-OR,R2CH-OR,
Trifluoromethylbenzene,C1=CC=C(C=C1)C(F)(F)F,1,Ar-CF3,Ar-R / Alkyl-F / Alkyl-X,
Nitrobenzene,O=[N+]([O-])c1ccccc1,1,Ar-NO2,Ar-NR2,
Picolinic acid,O=C(O)c1ccccn1,2,Ar-CO2H / Pyridine,,
Tol-BINAP,CC1=CC=C(C=C1)P(C2=CC=C(C=C2)C)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(C7=CC=C(C=C7)C)C8=CC=C(C=C8)C,7,Ar-PR2 / Ar-PR2 / Ar-R / Ar-R / Ar-R / Ar-R / Ar-Ar,,
Tri-n-butylphosphine,CCCCP(CCCC)CCCC,1,Alkyl-PR2,,
n-Butylamine,CCCCN,1,RCH2-NH2,Alkyl-NH2,
benzaldehyde,O=Cc1ccccc1,1,Ar-CHO,,
Iodobenzene,Ic1ccccc1,1,Ar-I,Ar-X,
4-Chlorotoluene,Cc1ccc(Cl)cc1,2,Ar-R / Ar-Cl,Ar-X,
Benzylamine,NCc1ccccc1,2,Ar-R / Bn-NH2,RCH2-NH2 / Alkyl-NH2,
dppf-PdCl2,C1=CC(P(c2ccccc2)c2ccccc2)=CC1.C1=CC(P(c2ccccc2)c2ccccc2)=CC1.[Fe+2].[Pd+2],8,Ar-PR2 / Ar-PR2 / Alkenyl-Alkenyl / Alkenyl-Alkenyl / Alkyl-C=C / Alkyl-C=C / Alkyl-C=C / Alkyl-C=C,Any-C=C-C=C / Any-C=C-C=C,
"1,1'-Bis(diphenylphosphino)ferrocene-palladium(II)dichloridedichloromethanecomplex",C1=CC(=CC=C1N)Br,2,Ar-NH2 / Ar-Br,Ar-X,
Ethanesulfonyl chloride,CCS(=O)(=O)Cl,3,Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-SO2Cl,Alkyl-H / Alkyl-H,
3-Methylbenzoyl chloride,Cc1cccc(C(=O)Cl)c1,2,Ar-COCl / Ar-R,Acyl-Cl / Ar-COX,
"3,5-Dinitrobenzoyl chloride",O=C(Cl)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,3,Ar-NO2 / Ar-NO2 / Ar-COCl,Ar-NR2 / Ar-NR2 / Acyl-Cl / Ar-COX,
4-Fluorobenzoyl chloride,O=C(Cl)c1ccc(F)cc1,2,Ar-COCl / Ar-F,Acyl-Cl / Ar-COX / Ar-X,
Sodium alginate,CC1C(c2ccccc2)OCCN1C,5,Ar-R / RCH2-OR / R2CH-NR2 / RCH2-NR2 / CH3-NR2,R2CH-OR / Alkyl-NR2 / Alkyl-NR2 / Alkyl-NR2,
Calcium lactate,CC(O)C(=O)O.CC(O)C(=O)O,6,R2CH-CO2H / R2CH-CO2H / Alkyl-H-acidic / Alkyl-H-acidic / R2CH-OH / R2CH-OH,Alkyl-CO2H / Alkyl-CO2H / Alkyl-H / Alkyl-H / Alkyl-OH / Alkyl-OH,
"1,3-Dichloro-5,5-dimethylhydantoin",CC1(C)C(=O)N(Cl)C(=O)N1Cl,2,R3C-CONR2 / R3C-LactamN,Alkyl-CONR2 / Alkyl-LactamN,
2-Fluorobenzoyl chloride,O=C(Cl)c1ccccc1F,2,Ar-COCl / Ar-F,Acyl-Cl / Ar-COX / Ar-X,
2-Furoyl chloride,O=C(Cl)c1ccco1,2,Ar-COCl / Furan,Acyl-Cl / Ar-COX,
4-Chlorobenzoyl chloride,O=C(Cl)c1ccc(Cl)cc1,2,Ar-COCl / Ar-Cl,Acyl-Cl / Ar-COX / Ar-X,
2-Chlorobenzoyl chloride,O=C(Cl)c1ccccc1Cl,2,Ar-COCl / Ar-Cl,Acyl-Cl / Ar-COX / Ar-X,
3-Chlorobenzoyl chloride,O=C(Cl)c1cccc(Cl)c1,2,Ar-COCl / Ar-Cl,Acyl-Cl / Ar-COX / Ar-X,
Acetyl chloride,CC(=O)Cl,4,Acyl-Cl / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic,Alkyl-H / Alkyl-H / Alkyl-H,
Cyclohexanecarbonyl chloride,O=C(Cl)C1CCCCC1,2,Acyl-Cl / Alkyl-H-acidic,Alkyl-H,
N-Acetylsulfanilyl chloride,CC(=O)Nc1ccc(S(=O)(=O)Cl)cc1,5,Ar-Amide / Ar-SO2Cl / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic,Alkyl-CONHR / Ar-SO2X / Alkyl-H / Alkyl-H / Alkyl-H,
4-Bromobenzoyl chloride,O=C(Cl)c1ccc(Br)cc1,2,Ar-COCl / Ar-Br,Acyl-Cl / Ar-COX / Ar-X,
3-Fluorobenzoyl chloride,O=C(Cl)c1cccc(F)c1,2,Ar-COCl / Ar-F,Acyl-Cl / Ar-COX / Ar-X,
4-Methoxybenzenesulfonyl chloride,COc1ccc(S(=O)(=O)Cl)cc1,2,Ar-SO2Cl / Ar-OR,Ar-SO2X / CH3-OR / Alkyl-OR,
4-(Trifluoromethyl)benzoyl chloride,O=C(Cl)c1ccc(C(F)(F)F)cc1,2,Ar-CF3 / Ar-COCl,Ar-R / Alkyl-F / Alkyl-X / Acyl-Cl / Ar-COX,
Benzoyl chloride,O=C(Cl)c1ccccc1,1,Ar-COCl,Acyl-Cl / Ar-COX,
4-Bromobenzyl bromide,BrCc1ccc(Br)cc1,3,Ar-R / Ar-Br / Bn-Br,Ar-X / RCH2-Br / Alkyl-Br / RCH2-X / Alkyl-X,
cinnamyl bromide,BrCC=Cc1ccccc1,3,Ar-C=C / Alkyl-C=C / RCH2-Br,Ar-Alkenyl / Any-Dienophile / Motif-C=C / Alkyl-Br / RCH2-X / Alkyl-X,
2-Bromomethyl naphthalene,BrCc1ccc2ccccc2c1,2,Ar-R / Bn-Br,RCH2-Br / Alkyl-Br / RCH2-X / Alkyl-X,
3-Bromobenzyl bromide,BrCc1cccc(Br)c1,3,Ar-R / Ar-Br / Bn-Br,Ar-X / RCH2-Br / Alkyl-Br / RCH2-X / Alkyl-X,
2-Chloro-4-fluorobenzyl bromide,Fc1ccc(CBr)c(Cl)c1,4,Ar-R / Ar-Cl / Ar-F / Bn-Br,Ar-X / Ar-X / RCH2-Br / Alkyl-Br / RCH2-X / Alkyl-X,
Ethyl 4-(bromomethyl)benzoate,CCOC(=O)c1ccc(CBr)cc1,3,Ar-CO2R / Ar-R / Bn-Br,RCH2-Br / Alkyl-Br / RCH2-X / Alkyl-X,
"3,5-Dimethylbenzyl bromide",Cc1cc(C)cc(CBr)c1,4,Ar-R / Ar-R / Ar-R / Bn-Br,RCH2-Br / Alkyl-Br / RCH2-X / Alkyl-X,
"alpha'-Bromo-alpha,alpha,alpha-trifluoro-p-xylene",FC(F)(F)c1ccc(CBr)cc1,3,Ar-CF3 / Ar-R / Bn-Br,Ar-R / Alkyl-F / Alkyl-X / RCH2-Br / Alkyl-Br / RCH2-X / Alkyl-X,
Ethyl iododifluoroacetate,CCOC(=O)C(F)(F)I,4,Alkyl-Ester / Alkyl-F / Alkyl-F / Alkyl-I,Alkyl-X / Alkyl-X / Alkyl-X,
